TYPE (g - grad/u - undergrad/b - both),school,years,url
g,framingham,19-20,https://www.framingham.edu/Assets/uploads/academics/catalogs/_documents/graduate-catalogs/2019-2020-graduate-catalog/graduate-catalog-2019-2020.pdf
u,franklinmarshall,16-17,https://www.fandm.edu/uploads/files/424328682491445596-2016-17-catalog.pdf
u,franklinmarshall,17-18,https://www.fandm.edu/uploads/files/948323203110593715-2017-2018-catalog.pdf
u,franklinmarshall,18-19,https://www.fandm.edu/uploads/files/578720848697254391-2018-2019-catalog.pdf
u,franklinmarshall,19-20,https://www.fandm.edu/uploads/files/43767370380153051-2019-2020-catalog-updated-10-25-19.pdf
b,gatech,17-18,http://catalog.gatech.edu/archived-catalogs/2017-2018/pdf/2017-2018.pdf
b,gatech,18-19,http://catalog.gatech.edu/archived-catalogs/2018-2019/pdf/2018-2019.pdf
b,gatech,19-20,http://catalog.gatech.edu/archived-catalogs/2019-2020//pdf/2019-2020.pdf
b,georgewashington,16-17,http://bulletin.gwu.edu/archives/2016-2017/pdf/2016-17.pdf
b,georgewashington,17-18,http://bulletin.gwu.edu/archives/2017-2018/pdf/2017-18.pdf
b,georgewashington,18-19,http://bulletin.gwu.edu/archives/2018-19.pdf
b,georgewashington,19-20,http://bulletin.gwu.edu/pdf/2019-20.pdf
b,grandview,18-19,https://www.grandview.edu/filesimages/PDF/Academics/Registrar/Grand%20View%20Catalog%2018-19.pdf
b,grandview,19-20,https://www.grandview.edu/filesimages/PDF/Academics/Registrar/Grand%20View%20Catalog%2019_20.pdf
u,holycross,16-17,https://college.holycross.edu/departments/catalog/20162017catalog.pdf
u,holycross,17-18,https://college.holycross.edu/departments/catalog/20172018catalog.pdf
u,holycross,18-19,https://college.holycross.edu/departments/catalog/20182019catalog.pdf
u,holycross,19-20,https://catalog.holycross.edu/pdf/2019-2020.pdf
u,iueast,16-17,https://www.iue.edu/catalog/documents/2016-17_catalog.pdf
u,iueast,17-18,https://www.iue.edu/catalog/documents/2017-18_Catalog.pdf
